HBA,HBD,HBA_Ratio,HBD_Ratio,Temperature_C,ln_gamma_b_sitosterol,ln_gamma_cellobiose,ln_gamma_gallic_acid,ln_gamma_glucose,ln_gamma_lignin,ln_gamma_lupeol,ln_gamma_oxalic_acid,ln_gamma_palmitic_acid,ln_gamma_phytol,ln_gamma_quercetin,ln_gamma_squalene,ln_gamma_sucrose,C_inf_b_sitosterol,C_inf_cellobiose,C_inf_gallic_acid,C_inf_glucose,C_inf_lignin,C_inf_lupeol,C_inf_oxalic_acid,C_inf_palmitic_acid,C_inf_phytol,C_inf_quercetin,C_inf_squalene,C_inf_sucrose,S_inf_b_sitosterol_vs_quercetin,S_inf_cellobiose_vs_quercetin,S_inf_gallic_acid_vs_quercetin,S_inf_glucose_vs_quercetin,S_inf_lignin_vs_quercetin,S_inf_lupeol_vs_quercetin,S_inf_oxalic_acid_vs_quercetin,S_inf_palmitic_acid_vs_quercetin,S_inf_phytol_vs_quercetin,S_inf_squalene_vs_quercetin,S_inf_sucrose_vs_quercetin
water,None,1,0,60,27.9231194980703,1.18726904987243,0.304020238718759,0.711049152147874,8.41682186409997,28.3764559656981,-2.44489378488093,17.6738296350018,21.9608690336438,3.3798794904171,34.5190038169649,1.44869202516181,,,,,,,,,,,,,,,,,,,,,,,
water,None,1,0,65,27.6587444539156,1.18153672669693,0.365135514250316,0.715531542485123,8.46471042625296,28.1205074678505,-2.34246710720646,17.4995059739117,21.7405343033863,3.37669767747936,34.1333865477203,1.45057285355041,,,,,,,,,,,,,,,,,,,,,,,
water,None,1,0,70,27.3925390476112,1.17289738185312,0.421635325371042,0.718226596726597,8.49867784920649,27.8631729535631,-2.24568260557665,17.3230673950751,21.5183214128864,3.36980359371865,33.7457281223946,1.44916721289254,,,,,,,,,,,,,,,,,,,,,,,
water,None,1,0,75,27.1245792770767,1.1615466121884,0.473780914553517,0.719245947767656,8.51970211979434,27.6044865113012,-2.15419472175526,17.1446290400823,21.2943256451894,3.35943166031705,33.3561805834099,1.44468841635088,,,,,,,,,,,,,,,,,,,,,,,
water,None,1,0,80,26.8549442821805,1.1476637788981,0.521815511013137,0.718692538296954,8.52869184509412,27.3444898060841,-2.06768407674586,16.964303325136,21.0686424537443,3.34580033323782,32.9649000409822,1.43733313394435,,,,,,,,,,,,,,,,,,,,,,,
water,None,1,0,85,26.583728011491,1.13142152017872,0.565968521425166,0.716665295269647,8.52650589710668,27.0832423554106,-1.9858527319102,16.7822099252648,20.841377877275,3.32911935573493,32.5720832404056,1.42729043427784,,,,,,,,,,,,,,,,,,,,,,,
water,None,1,0,90,26.3110309316767,1.11298145031592,0.606455161345468,0.713257116637717,8.51394815222452,26.8208136622034,-1.90842377458553,16.598469314723,20.6126413776794,3.3095868199456,32.1778641357313,1.41473773543423,,,,,,,,,,,,,,,,,,,,,,,
water,None,1,0,95,26.036958969374,1.09249486146072,0.643477482745081,0.7085552765481,8.49177108432958,26.5572819004866,-1.83513962089143,16.4132022414705,20.3825450435168,3.2873897709024,31.7824517820117,1.39984151240029,,,,,,,,,,,,,,,,,,,,,,,
water,None,1,0,100,25.7616299047728,1.07010804214552,0.677227226105731,0.70264399910037,8.46068699646975,26.2927395198504,-1.76575888424916,16.2265352517651,20.1512093140034,3.26270861730149,31.3860442072021,1.38276234387886,,,,,,,,,,,,,,,,,,,,,,,
methanol,None,1,0,0,4.54156542859597,-2.85314643069379,-9.47205521341282,-1.13448566735716,0.28853380765183,5.73664275475434,-7.36356782551364,0.86809182089858,2.42363232662713,-8.0999228217459,6.08433162842398,-2.46438027760319,,,,,,,,,,,,,,,,,,,,,,,
methanol,None,1,0,5,4.50049801350297,-2.79727707792833,-9.05741009964409,-1.09951159842869,0.24912357162946,5.7171675208447,-7.01625864276454,0.868625019636098,2.3892550883578,-7.78247383435351,6.00733649137583,-2.42676440610402,,,,,,,,,,,,,,,,,,,,,,,
methanol,None,1,0,10,4.4586470927651,-2.74503683820578,-8.66615289840837,-1.06703068468146,0.209008749753372,5.69599370434675,-6.68914491958336,0.86688572696829,2.35415874809591,-7.48315262984467,5.92816161944584,-2.39147008010867,,,,,,,,,,,,,,,,,,,,,,,
methanol,None,1,0,15,4.41603823727577,-2.69618733396223,-8.29668413888276,-1.03687896045567,0.168356402136083,5.67316150593421,-6.38079761361176,0.863032659849117,2.31838150802516,-7.2007150721377,5.84686998311141,-2.35833599642577,,,,,,,,,,,,,,,,,,,,,,,
methanol,None,1,0,20,4.37269058215578,-2.65050483219376,-7.94753308873158,-1.00890218310256,0.127310925262018,5.64870545707829,-6.0899035685201,0.857209836497115,2.28195540022128,-6.93401512109234,5.76352429422518,-2.32721122404549,,,,,,,,,,,,,,,,,,,,,,,
methanol,None,1,0,25,4.32862109241016,-2.60778714150953,-7.61735532966772,-0.982960290873574,0.0860015981679137,5.62265703647232,-5.81526197646635,0.849549056756112,2.24491007160624,-6.68200559336495,5.67819018005056,-2.29796080203824,,,,,,,,,,,,,,,,,,,,,,,
