Compound,Sigma_01,Sigma_02,Sigma_03,Sigma_04,Sigma_05,Sigma_06,Sigma_07,Sigma_08,Sigma_09,Sigma_10,Sigma_11,Sigma_12,Sigma_13,Sigma_14,Sigma_15,Sigma_16,Sigma_17,Sigma_18,Sigma_19,Sigma_20,Sigma_21,Sigma_22,Sigma_23,Sigma_24,Sigma_25,Sigma_26,Sigma_27,Sigma_28,Sigma_29,Sigma_30,Sigma_31,Sigma_32,Sigma_33,Sigma_34,Sigma_35,Sigma_36,Sigma_37,Sigma_38,Sigma_39,Sigma_40,Sigma_41,Sigma_42,Sigma_43,Sigma_44,Sigma_45,Sigma_46,Sigma_47,Sigma_48,Sigma_49,Sigma_50,Sigma_51
chloroform_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.039232210999995,15.294928736,26.956673769,56.387778877999864,96.565286021,210.59158679799975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
choline_anion_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.6215546079991,0.966996666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
choline_cation_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12340277499999999,0.21344082,0.8264695440000003,1.575200495,3.7654355000000006,22.564219065000003,31.392409345999983,179.84256692900001,150.99595310100037,122.77032405199975,15.185875763000126,8.380209907000108,7.489547472000027,11.77512088100002,22.063481481000736,5.061874548000219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
citric_acid_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.32017707000001,52.953572126999994,24.54357005700001,54.97430655100004,93.56510838599999,68.17841510099993,59.19894692799983,45.66899935299995,71.68087037799972,147.67823512200272,81.42467790700152,0.6312946949999514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dodecanol_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290330485,10.725978419999999,12.37057668,4.460485941000005,6.245169800000006,379.29557253200016,381.04301415000015,215.63253823599996,24.518148797000435,7.47812044699981,18.195642769000415,20.86333079899964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ethanol_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111230843,11.120399587000001,9.617783982999997,8.061532144000001,23.85461001199999,114.665191195,49.66641211300001,50.792289548999776,8.636902009000039,10.635462153999981,16.799217026999997,18.745126851999828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ethylene_glycol_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276630976,15.943198037000002,24.491589467999994,9.373540001000002,73.01807985599993,69.87142421600005,45.545461989000046,15.96306381300002,16.154020646000077,18.658388027999877,38.80708311799981,25.456996594999737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fructose_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137152184,31.222458645000003,61.00794314800001,31.693779519999993,155.34630948600005,92.72487651700015,53.16830056799995,38.99411227900009,38.24204559800006,63.98979064900084,103.64688907400227,23.758881150000548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gallic_acid_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.290940553,1.4404802550000002,17.993743224000003,67.55577039899995,17.31226589499998,17.355837039000008,48.25122033999992,58.280738755000016,105.97573460399965,128.25674542399963,50.02915999499987,100.68326896700205,41.634268810001345,3.463060329999962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glucose_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13828395999999998,0.274098546,1.7664741860000002,50.69698171500001,61.43717911299998,29.175984404000104,154.8799121400001,80.7169327040001,50.34768674300017,31.87666294299993,42.73340364999984,60.797945721000474,123.5736032080033,26.733859003000703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glycerol_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12728546,0.699715262,25.980181295000005,34.929162796999975,21.64138735800004,95.67382017199976,82.04872607799996,40.718499796,19.948828405999905,19.56618347899996,29.129245279999964,55.809558488999585,39.726550245999704,0.5443234350000239,0.1618587560000151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hexane_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.600880717,192.94146971699962,172.43023336999983,4.328309344000331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lactic_acid_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129824451,0.253669204,1.093849177,2.370444688,15.323466079,9.169699791000003,14.420287181999996,16.924593656999996,89.21729416399981,53.54173565800002,58.87944082699997,34.227237240000136,33.70770897499983,65.1598621489996,37.94506811599956,5.679502915999933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lauric_acid_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.998853677,21.207810785000003,5.28106382,3.654580090999996,52.51337096899994,355.37324308999985,327.98221112100003,205.36120115699987,30.090879579000443,51.68105035800056,25.87547006600016,7.340515520999816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
levulinic_acid_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.726567492,22.108132167000004,4.169625848000003,8.336389125,167.4783180560001,95.75895367600015,74.7596947319999,27.163368790999755,23.403292156999953,79.23112526499932,51.29985781500068,12.743182231000333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lignin_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266292012,0.0,0.07298412300000001,0.8493559819999998,1.9198697010000003,2.1875385599999997,11.885794286,111.32862373599988,447.821776310001,281.2176522110012,336.5242972790013,231.52490981000597,48.92172630299956,95.97198048199857,197.84228512200048,26.219566135999912,2.672211108000056,0.49058799099998396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lupeol_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.474064159000001,17.457032835000003,11.071784279000003,56.09823206399992,587.8114017299993,447.8001686069998,397.3666841000038,89.48571525599914,16.416870630000403,10.539852640000163,10.577739591999944,5.05550403899997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
